unadjusted_close,ticker_symbol,datetime,split,dividend,backward_adj_close
808.05,TSLA,2020-05-19,1.0,0.0,53.87
815.55,TSLA,2020-05-20,1.0,0.0,54.37
827.5500000000001,TSLA,2020-05-21,1.0,0.0,55.17
816.9,TSLA,2020-05-22,1.0,0.0,54.46
818.85,TSLA,2020-05-26,1.0,0.0,54.59
820.2,TSLA,2020-05-27,1.0,0.0,54.68
805.8,TSLA,2020-05-28,1.0,0.0,53.72
835.0500000000001,TSLA,2020-05-29,1.0,0.0,55.67
898.05,TSLA,2020-06-01,1.0,0.0,59.87
881.5500000000001,TSLA,2020-06-02,1.0,0.0,58.77
882.9,TSLA,2020-06-03,1.0,0.0,58.86
864.45,TSLA,2020-06-04,1.0,0.0,57.63
885.6,TSLA,2020-06-05,1.0,0.0,59.04
949.9499999999999,TSLA,2020-06-08,1.0,0.0,63.33
940.65,TSLA,2020-06-09,1.0,0.0,62.71
1025.1000000000001,TSLA,2020-06-10,1.0,0.0,68.34
972.9,TSLA,2020-06-11,1.0,0.0,64.86
935.25,TSLA,2020-06-12,1.0,0.0,62.35
990.9000000000001,TSLA,2020-06-15,1.0,0.0,66.06
982.2,TSLA,2020-06-16,1.0,0.0,65.48
991.8000000000001,TSLA,2020-06-17,1.0,0.0,66.12
1003.95,TSLA,2020-06-18,1.0,0.0,66.93
1000.95,TSLA,2020-06-19,1.0,0.0,66.73
994.3500000000001,TSLA,2020-06-22,1.0,0.0,66.29
1001.8500000000001,TSLA,2020-06-23,1.0,0.0,66.79
960.9000000000001,TSLA,2020-06-24,1.0,0.0,64.06
985.95,TSLA,2020-06-25,1.0,0.0,65.73
959.6999999999999,TSLA,2020-06-26,1.0,0.0,63.98
1009.3500000000001,TSLA,2020-06-29,1.0,0.0,67.29
1079.85,TSLA,2020-06-30,1.0,0.0,71.99
1119.6,TSLA,2020-07-01,1.0,0.0,74.64
1208.7,TSLA,2020-07-02,1.0,0.0,80.58
1371.6,TSLA,2020-07-06,1.0,0.0,91.44
1389.8999999999999,TSLA,2020-07-07,1.0,0.0,92.66
1365.9,TSLA,2020-07-08,1.0,0.0,91.06
1394.25,TSLA,2020-07-09,1.0,0.0,92.95
1544.7,TSLA,2020-07-10,1.0,0.0,102.98
1497.0,TSLA,2020-07-13,1.0,0.0,99.8
1516.8000000000002,TSLA,2020-07-14,1.0,0.0,101.12
1546.05,TSLA,2020-07-15,1.0,0.0,103.07
1500.6000000000001,TSLA,2020-07-16,1.0,0.0,100.04
1500.9,TSLA,2020-07-17,1.0,0.0,100.06
1642.95,TSLA,2020-07-20,1.0,0.0,109.53
1568.4,TSLA,2020-07-21,1.0,0.0,104.56
1592.3999999999999,TSLA,2020-07-22,1.0,0.0,106.16
1513.0500000000002,TSLA,2020-07-23,1.0,0.0,100.87
1417.05,TSLA,2020-07-24,1.0,0.0,94.47
1539.6,TSLA,2020-07-27,1.0,0.0,102.64
1476.45,TSLA,2020-07-28,1.0,0.0,98.43
1499.1,TSLA,2020-07-29,1.0,0.0,99.94
1487.55,TSLA,2020-07-30,1.0,0.0,99.17
1430.6999999999998,TSLA,2020-07-31,1.0,0.0,95.38
1485.0,TSLA,2020-08-03,1.0,0.0,99.0
1486.9499999999998,TSLA,2020-08-04,1.0,0.0,99.13
1485.0,TSLA,2020-08-05,1.0,0.0,99.0
1489.65,TSLA,2020-08-06,1.0,0.0,99.31
1452.75,TSLA,2020-08-07,1.0,0.0,96.85
1418.55,TSLA,2020-08-10,1.0,0.0,94.57
1374.4499999999998,TSLA,2020-08-11,1.0,0.0,91.63
1554.75,TSLA,2020-08-12,1.0,0.0,103.65
1621.05,TSLA,2020-08-13,1.0,0.0,108.07
1650.75,TSLA,2020-08-14,1.0,0.0,110.05
1835.6999999999998,TSLA,2020-08-17,1.0,0.0,122.38
1887.15,TSLA,2020-08-18,1.0,0.0,125.81
1878.6,TSLA,2020-08-19,1.0,0.0,125.24
2001.9,TSLA,2020-08-20,1.0,0.0,133.46
2050.0499999999997,TSLA,2020-08-21,1.0,0.0,136.67
2014.2,TSLA,2020-08-24,1.0,0.0,134.28
2023.35,TSLA,2020-08-25,1.0,0.0,134.89
2153.1,TSLA,2020-08-26,1.0,0.0,143.54
2238.75,TSLA,2020-08-27,1.0,0.0,149.25
2213.4,TSLA,2020-08-28,1.0,0.0,147.56
498.33000000000004,TSLA,2020-08-31,5.0,0.0,166.11
475.04999999999995,TSLA,2020-09-01,1.0,0.0,158.35
447.36,TSLA,2020-09-02,1.0,0.0,149.12
407.01,TSLA,2020-09-03,1.0,0.0,135.67
418.32,TSLA,2020-09-04,1.0,0.0,139.44
330.21,TSLA,2020-09-08,1.0,0.0,110.07
366.27,TSLA,2020-09-09,1.0,0.0,122.09
371.34000000000003,TSLA,2020-09-10,1.0,0.0,123.78
372.71999999999997,TSLA,2020-09-11,1.0,0.0,124.24
419.61,TSLA,2020-09-14,1.0,0.0,139.87
449.76,TSLA,2020-09-15,1.0,0.0,149.92
441.75,TSLA,2020-09-16,1.0,0.0,147.25
423.41999999999996,TSLA,2020-09-17,1.0,0.0,141.14
442.14,TSLA,2020-09-18,1.0,0.0,147.38
449.40000000000003,TSLA,2020-09-21,1.0,0.0,149.8
424.23,TSLA,2020-09-22,1.0,0.0,141.41
380.37,TSLA,2020-09-23,1.0,0.0,126.79
387.78,TSLA,2020-09-24,1.0,0.0,129.26
407.34000000000003,TSLA,2020-09-25,1.0,0.0,135.78
421.20000000000005,TSLA,2020-09-28,1.0,0.0,140.4
419.07,TSLA,2020-09-29,1.0,0.0,139.69
429.0,TSLA,2020-09-30,1.0,0.0,143.0
448.16999999999996,TSLA,2020-10-01,1.0,0.0,149.39
415.08000000000004,TSLA,2020-10-02,1.0,0.0,138.36
425.66999999999996,TSLA,2020-10-05,1.0,0.0,141.89
413.97,TSLA,2020-10-06,1.0,0.0,137.99
